Gene	Module	kME
ENSMUSG00000002395	P4_I9_M17	0.8
ENSMUSG00000002396	UNCLASSIFIED	NA
ENSMUSG00000002409	P2_I12_M3	0.89
ENSMUSG00000002413	P2_I12_M2	0.93
ENSMUSG00000002416	P12_I2_M1	0.88
ENSMUSG00000002428	P1_I9_M1	0.9
ENSMUSG00000002455	P8_I5_M1	0.84
ENSMUSG00000002458	P3_I9_M7	0.92
ENSMUSG00000002475	P1_I9_M2	0.89
ENSMUSG00000002477	P2_I12_M4	0.89
ENSMUSG00000002486	P2_I12_M5	0.89
ENSMUSG00000002489	P3_I9_M6	0.95
ENSMUSG00000002496	P8_I5_M1	0.88
ENSMUSG00000002500	P1_I9_M4	0.96
ENSMUSG00000002504	P6_I6_M10	0.84
ENSMUSG00000002524	P2_I12_M4	0.95
ENSMUSG00000002546	P1_I9_M1	0.97
ENSMUSG00000002550	P5_I8_M13	0.93
ENSMUSG00000002565	UNCLASSIFIED	NA
ENSMUSG00000002578	P1_I9_M3	0.87
ENSMUSG00000002580	P2_I12_M1	0.82
ENSMUSG00000002588	P1_I9_M2	0.95
ENSMUSG00000002602	P1_I9_M1	0.95
ENSMUSG00000002603	P4_I9_M7	0.92
ENSMUSG00000002608	P1_I9_M1	0.91
ENSMUSG00000002617	P6_I6_M4	0.86
ENSMUSG00000002625	P2_I12_M5	0.91
ENSMUSG00000002633	UNCLASSIFIED	NA
ENSMUSG00000002635	P2_I12_M4	0.86
ENSMUSG00000002658	P2_I12_M4	0.93
ENSMUSG00000002660	P5_I8_M13	0.83
ENSMUSG00000002661	UNCLASSIFIED	NA
ENSMUSG00000002664	UNCLASSIFIED	NA
ENSMUSG00000002668	P3_I9_M1	0.92
ENSMUSG00000002679	P3_I9_M12	0.86
ENSMUSG00000002688	P3_I9_M2	0.95
ENSMUSG00000002699	P4_I9_M7	0.87
ENSMUSG00000002718	P3_I9_M6	0.91
ENSMUSG00000002728	P4_I9_M11	0.91
ENSMUSG00000002731	P3_I9_M7	0.85
ENSMUSG00000002732	P5_I8_M2	0.92
ENSMUSG00000002733	P1_I9_M1	0.92
ENSMUSG00000002741	P3_I9_M7	0.95
ENSMUSG00000002748	P2_I12_M3	0.91
ENSMUSG00000002763	UNCLASSIFIED	NA
ENSMUSG00000002767	P12_I2_M1	0.89
ENSMUSG00000002768	P2_I12_M4	0.93
ENSMUSG00000002769	P1_I9_M2	0.92
ENSMUSG00000002771	P3_I9_M1	0.91
ENSMUSG00000002778	P2_I12_M4	0.9
ENSMUSG00000002781	P8_I5_M2	0.88
