Gene	Module	kME
ENSMUSG00000003458	P3_I9_M15	0.94
ENSMUSG00000003464	P2_I12_M4	0.87
ENSMUSG00000003469	UNCLASSIFIED	NA
ENSMUSG00000003476	P1_I9_M4	0.97
ENSMUSG00000003477	P2_I12_M19	0.88
ENSMUSG00000003484	P1_I9_M9	0.87
ENSMUSG00000003500	P2_I12_M13	0.91
ENSMUSG00000003518	P1_I9_M1	0.93
ENSMUSG00000003526	P2_I12_M19	0.8
ENSMUSG00000003527	P1_I9_M1	0.92
ENSMUSG00000003528	UNCLASSIFIED	NA
ENSMUSG00000003531	P4_I9_M4	0.81
ENSMUSG00000003534	P3_I9_M15	0.92
ENSMUSG00000003541	UNCLASSIFIED	NA
ENSMUSG00000003545	P2_I12_M1	0.8
ENSMUSG00000003546	UNCLASSIFIED	NA
ENSMUSG00000003549	P3_I9_M3	0.87
ENSMUSG00000003555	P2_I12_M14	0.82
ENSMUSG00000003559	P2_I12_M8	0.85
ENSMUSG00000003573	P2_I12_M4	0.94
ENSMUSG00000003575	P3_I9_M1	0.95
ENSMUSG00000003581	P1_I9_M1	0.92
ENSMUSG00000003585	P1_I9_M2	0.96
ENSMUSG00000003604	UNCLASSIFIED	NA
ENSMUSG00000003617	P2_I12_M16	0.89
ENSMUSG00000003623	P1_I9_M2	0.96
ENSMUSG00000003644	P3_I9_M5	0.9
ENSMUSG00000003660	P3_I9_M9	0.91
ENSMUSG00000003662	P3_I9_M16	0.88
ENSMUSG00000003665	UNCLASSIFIED	NA
ENSMUSG00000003680	P3_I9_M7	0.89
ENSMUSG00000003721	P3_I9_M22	0.87
ENSMUSG00000003731	P3_I9_M6	0.94
ENSMUSG00000003746	UNCLASSIFIED	NA
ENSMUSG00000003752	P3_I9_M4	0.84
ENSMUSG00000003762	P5_I8_M6	0.88
ENSMUSG00000003778	P1_I9_M1	0.93
ENSMUSG00000003779	P3_I9_M12	0.93
ENSMUSG00000003808	P4_I9_M2	0.87
ENSMUSG00000003809	P1_I9_M2	0.96
ENSMUSG00000003810	P1_I9_M1	0.91
ENSMUSG00000003812	P2_I12_M1	0.89
ENSMUSG00000003813	P3_I9_M2	0.89
ENSMUSG00000003814	UNCLASSIFIED	NA
ENSMUSG00000003824	P3_I9_M19	0.88
ENSMUSG00000003847	P2_I12_M2	0.92
ENSMUSG00000003848	P6_I6_M3	0.87
ENSMUSG00000003849	UNCLASSIFIED	NA
ENSMUSG00000003863	P3_I9_M15	0.84
ENSMUSG00000003865	P6_I6_M4	0.8
ENSMUSG00000003868	P5_I8_M6	0.9
ENSMUSG00000003872	UNCLASSIFIED	NA
ENSMUSG00000003873	P3_I9_M12	0.93
ENSMUSG00000003882	P2_I12_M1	0.86
ENSMUSG00000003923	UNCLASSIFIED	NA
ENSMUSG00000003929	P3_I9_M17	0.9
ENSMUSG00000003934	P3_I9_M10	0.86
ENSMUSG00000003948	P3_I9_M7	0.92
ENSMUSG00000003949	P2_I12_M16	0.82
ENSMUSG00000003955	P1_I9_M8	0.8
ENSMUSG00000003970	P2_I12_M4	0.95
ENSMUSG00000003992	P3_I9_M3	0.91
ENSMUSG00000004018	UNCLASSIFIED	NA
ENSMUSG00000004031	P3_I9_M5	0.98
ENSMUSG00000004032	P1_I9_M3	0.95
ENSMUSG00000004035	P7_I7_M6	0.85
ENSMUSG00000004038	P1_I9_M2	0.95
ENSMUSG00000004040	P5_I8_M9	0.86
ENSMUSG00000004043	P3_I9_M4	0.9
ENSMUSG00000004044	P6_I6_M10	0.89
ENSMUSG00000004054	P3_I9_M1	0.9
ENSMUSG00000004056	P3_I9_M2	0.89
ENSMUSG00000004069	UNCLASSIFIED	NA
ENSMUSG00000004070	P10_I3_M1	0.87
ENSMUSG00000004071	P9_I6_M5	0.84
ENSMUSG00000004085	P2_I12_M9	0.95
ENSMUSG00000004096	P5_I8_M2	0.9
ENSMUSG00000004098	P2_I12_M7	0.93
ENSMUSG00000004099	P4_I9_M1	0.93
ENSMUSG00000004100	P7_I7_M7	0.82
ENSMUSG00000004105	P5_I8_M3	0.93
ENSMUSG00000004110	P1_I9_M9	0.91
ENSMUSG00000004113	P4_I9_M1	0.86
ENSMUSG00000004127	P2_I12_M6	0.86
ENSMUSG00000004151	P4_I9_M7	0.91
ENSMUSG00000004187	UNCLASSIFIED	NA
ENSMUSG00000004207	P3_I9_M7	0.9
ENSMUSG00000004221	P4_I9_M13	0.87
ENSMUSG00000004231	P1_I9_M3	0.94
ENSMUSG00000004233	P3_I9_M17	0.89
ENSMUSG00000004263	P1_I9_M1	0.93
ENSMUSG00000004264	UNCLASSIFIED	NA
ENSMUSG00000004266	P10_I3_M1	0.89
ENSMUSG00000004267	P3_I9_M1	0.94
ENSMUSG00000004268	UNCLASSIFIED	NA
ENSMUSG00000004270	UNCLASSIFIED	NA
ENSMUSG00000004285	P10_I3_M2	0.86
ENSMUSG00000004296	UNCLASSIFIED	NA
ENSMUSG00000004317	P3_I9_M6	0.91
ENSMUSG00000004319	P4_I9_M14	0.85
ENSMUSG00000004328	P4_I9_M15	0.81
ENSMUSG00000004341	UNCLASSIFIED	NA
ENSMUSG00000004356	P6_I6_M8	0.92
ENSMUSG00000004359	UNCLASSIFIED	NA
ENSMUSG00000004360	P2_I12_M1	0.91
ENSMUSG00000004364	P2_I12_M9	0.91
ENSMUSG00000004371	UNCLASSIFIED	NA
ENSMUSG00000004383	P3_I9_M12	0.92
ENSMUSG00000004393	P2_I12_M4	0.92
ENSMUSG00000004394	P7_I7_M3	0.93
ENSMUSG00000004415	P1_I9_M3	0.93
ENSMUSG00000004446	P3_I9_M11	0.87
ENSMUSG00000004451	P1_I9_M1	0.94
ENSMUSG00000004455	P1_I9_M1	0.94
ENSMUSG00000004460	P4_I9_M19	0.84
ENSMUSG00000004462	UNCLASSIFIED	NA
ENSMUSG00000004473	P3_I9_M10	0.89
ENSMUSG00000004500	P4_I9_M14	0.81
ENSMUSG00000004508	P5_I8_M3	0.93
ENSMUSG00000004530	P1_I9_M1	0.91
ENSMUSG00000004535	P6_I6_M8	0.91
ENSMUSG00000004540	UNCLASSIFIED	NA
ENSMUSG00000004552	P5_I8_M16	0.83
ENSMUSG00000004558	UNCLASSIFIED	NA
ENSMUSG00000004561	P2_I12_M5	0.84
ENSMUSG00000004562	P1_I9_M1	0.95
ENSMUSG00000004565	P7_I7_M5	0.9
ENSMUSG00000004567	P2_I12_M5	0.87
ENSMUSG00000004568	P3_I9_M1	0.91
ENSMUSG00000004591	P2_I12_M2	0.93
ENSMUSG00000004609	P4_I9_M1	0.92
ENSMUSG00000004610	P1_I9_M8	0.83
ENSMUSG00000004612	UNCLASSIFIED	NA
ENSMUSG00000004626	P5_I8_M4	0.9
ENSMUSG00000004630	P5_I8_M4	0.83
ENSMUSG00000004631	P2_I12_M3	0.96
ENSMUSG00000004633	P3_I9_M22	0.9
ENSMUSG00000004637	P4_I9_M6	0.87
ENSMUSG00000004642	P4_I9_M16	0.87
ENSMUSG00000004654	P1_I9_M3	0.97
ENSMUSG00000004655	P2_I12_M3	0.91
ENSMUSG00000004661	P8_I5_M1	0.83
ENSMUSG00000004665	P1_I9_M1	0.91
ENSMUSG00000004667	P2_I12_M4	0.91
ENSMUSG00000004677	P3_I9_M1	0.95
ENSMUSG00000004698	P2_I12_M7	0.91
ENSMUSG00000004707	P2_I12_M1	0.88
ENSMUSG00000004709	P3_I9_M15	0.87
ENSMUSG00000004730	P2_I12_M1	0.86
ENSMUSG00000004748	UNCLASSIFIED	NA
ENSMUSG00000004768	P1_I9_M1	0.94
ENSMUSG00000004771	P2_I12_M4	0.89
ENSMUSG00000004788	P2_I12_M4	0.91
ENSMUSG00000004789	P1_I9_M7	0.99
ENSMUSG00000004791	P4_I9_M6	0.88
ENSMUSG00000004798	P2_I12_M2	0.84
ENSMUSG00000004814	UNCLASSIFIED	NA
ENSMUSG00000004815	UNCLASSIFIED	NA
ENSMUSG00000004837	P2_I12_M3	0.88
ENSMUSG00000004843	P1_I9_M1	0.9
ENSMUSG00000004846	P3_I9_M7	0.92
ENSMUSG00000004849	P3_I9_M7	0.94
ENSMUSG00000004864	P1_I9_M3	0.93
ENSMUSG00000004865	P3_I9_M1	0.92
ENSMUSG00000004880	P1_I9_M1	0.93
ENSMUSG00000004885	UNCLASSIFIED	NA
ENSMUSG00000004891	P7_I7_M3	0.84
ENSMUSG00000004892	UNCLASSIFIED	NA
ENSMUSG00000004895	P2_I12_M4	0.89
ENSMUSG00000004896	P2_I12_M5	0.89
ENSMUSG00000004897	P3_I9_M7	0.89
ENSMUSG00000004902	P1_I9_M3	0.88
ENSMUSG00000004929	P2_I12_M4	0.89
ENSMUSG00000004931	UNCLASSIFIED	NA
ENSMUSG00000004933	P2_I12_M1	0.95
ENSMUSG00000004934	P3_I9_M4	0.91
ENSMUSG00000004936	P1_I9_M1	0.93
ENSMUSG00000004937	P5_I8_M6	0.91
ENSMUSG00000004939	P1_I9_M4	0.95
ENSMUSG00000004945	P4_I9_M4	0.93
ENSMUSG00000004947	P3_I9_M2	0.89
ENSMUSG00000004948	UNCLASSIFIED	NA
ENSMUSG00000004951	UNCLASSIFIED	NA
ENSMUSG00000004952	P1_I9_M1	0.86
ENSMUSG00000004961	P1_I9_M3	0.96
ENSMUSG00000004980	P4_I9_M8	0.89
ENSMUSG00000004988	UNCLASSIFIED	NA
ENSMUSG00000004994	P3_I9_M1	0.86
ENSMUSG00000004996	UNCLASSIFIED	NA
ENSMUSG00000005034	P7_I7_M1	0.91
ENSMUSG00000005043	P2_I12_M7	0.92
ENSMUSG00000005045	P4_I9_M1	0.91
ENSMUSG00000005054	P2_I12_M1	0.93
ENSMUSG00000005057	P5_I8_M6	0.83
ENSMUSG00000005069	UNCLASSIFIED	NA
ENSMUSG00000005078	P3_I9_M7	0.89
ENSMUSG00000005087	P2_I12_M1	0.97
ENSMUSG00000005089	P1_I9_M2	0.98
ENSMUSG00000005102	P7_I7_M1	0.91
ENSMUSG00000005103	P1_I9_M1	0.94
ENSMUSG00000005107	P2_I12_M16	0.91
ENSMUSG00000005124	UNCLASSIFIED	NA
ENSMUSG00000005125	P3_I9_M3	0.89
ENSMUSG00000005131	P2_I12_M7	0.83
ENSMUSG00000005142	P3_I9_M15	0.85
ENSMUSG00000005148	UNCLASSIFIED	NA
ENSMUSG00000005150	P2_I12_M4	0.92
ENSMUSG00000005161	P4_I9_M4	0.91
ENSMUSG00000005198	P2_I12_M5	0.92
ENSMUSG00000005204	P1_I9_M1	0.85
ENSMUSG00000005220	P5_I8_M16	0.93
ENSMUSG00000005225	UNCLASSIFIED	NA
ENSMUSG00000005233	P4_I9_M19	0.85
ENSMUSG00000005237	P1_I9_M3	0.95
ENSMUSG00000005251	UNCLASSIFIED	NA
ENSMUSG00000005262	P1_I9_M1	0.92
ENSMUSG00000005267	P4_I9_M7	0.9
ENSMUSG00000005268	UNCLASSIFIED	NA
ENSMUSG00000005299	P1_I9_M7	0.88
ENSMUSG00000005312	P4_I9_M7	0.83
ENSMUSG00000005320	P2_I12_M10	0.97
ENSMUSG00000005338	P1_I9_M1	0.94
ENSMUSG00000005339	UNCLASSIFIED	NA
ENSMUSG00000005354	P1_I9_M8	0.86
ENSMUSG00000005357	UNCLASSIFIED	NA
ENSMUSG00000005360	P10_I3_M4	0.9
ENSMUSG00000005362	P2_I12_M2	0.89
ENSMUSG00000005364	UNCLASSIFIED	NA
ENSMUSG00000005370	P7_I7_M1	0.93
ENSMUSG00000005371	P1_I9_M1	0.92
ENSMUSG00000005373	P6_I6_M2	0.84
ENSMUSG00000005374	P4_I9_M7	0.91
ENSMUSG00000005378	UNCLASSIFIED	NA
ENSMUSG00000005397	P8_I5_M1	0.92
ENSMUSG00000005410	P2_I12_M1	0.94
ENSMUSG00000005413	P2_I12_M1	0.93
ENSMUSG00000005417	P1_I9_M1	0.96
ENSMUSG00000005442	P3_I9_M1	0.95
ENSMUSG00000005447	P4_I9_M2	0.84
ENSMUSG00000005465	P4_I9_M10	0.82
ENSMUSG00000005469	P4_I9_M11	0.88
ENSMUSG00000005470	P5_I8_M10	0.93
ENSMUSG00000005474	P3_I9_M23	0.87
ENSMUSG00000005481	P2_I12_M4	0.9
ENSMUSG00000005483	P3_I9_M4	0.81
ENSMUSG00000005501	P5_I8_M5	0.88
ENSMUSG00000005505	UNCLASSIFIED	NA
ENSMUSG00000005506	P2_I12_M2	0.9
ENSMUSG00000005510	P1_I9_M8	0.92
ENSMUSG00000005514	P4_I9_M5	0.89
ENSMUSG00000005533	P3_I9_M1	0.91
ENSMUSG00000005534	P6_I6_M1	0.87
ENSMUSG00000005540	P6_I6_M7	0.91
ENSMUSG00000005547	P1_I9_M2	0.92
ENSMUSG00000005553	P2_I12_M14	0.81
ENSMUSG00000005566	P3_I9_M1	0.93
ENSMUSG00000005575	P2_I12_M4	0.91
ENSMUSG00000005580	UNCLASSIFIED	NA
ENSMUSG00000005583	P2_I12_M9	0.94
ENSMUSG00000005609	P4_I9_M7	0.94
ENSMUSG00000005610	P1_I9_M1	0.95
ENSMUSG00000005611	P2_I12_M3	0.91
ENSMUSG00000005615	P3_I9_M6	0.83
ENSMUSG00000005621	P4_I9_M9	0.86
ENSMUSG00000005625	P2_I12_M4	0.87
ENSMUSG00000005628	P1_I9_M4	0.96
ENSMUSG00000005640	P6_I6_M3	0.84
ENSMUSG00000005656	P1_I9_M1	0.93
ENSMUSG00000005667	P2_I12_M1	0.93
ENSMUSG00000005672	P2_I12_M5	0.85
ENSMUSG00000005674	P1_I9_M2	0.93
ENSMUSG00000005677	P1_I9_M2	0.96
ENSMUSG00000005681	P1_I9_M2	0.84
ENSMUSG00000005682	P2_I12_M5	0.85
ENSMUSG00000005683	P2_I12_M13	0.92
ENSMUSG00000005686	P8_I5_M3	0.95
ENSMUSG00000005687	P6_I6_M5	0.93
ENSMUSG00000005696	UNCLASSIFIED	NA
ENSMUSG00000005698	P3_I9_M17	0.92
ENSMUSG00000005699	P2_I12_M4	0.89
ENSMUSG00000005705	UNCLASSIFIED	NA
ENSMUSG00000005716	P1_I9_M4	0.86
ENSMUSG00000005718	UNCLASSIFIED	NA
ENSMUSG00000005732	P2_I12_M4	0.89
ENSMUSG00000005763	P3_I9_M16	0.86
ENSMUSG00000005774	P3_I9_M1	0.9
ENSMUSG00000005779	P10_I3_M2	0.8
ENSMUSG00000005800	UNCLASSIFIED	NA
ENSMUSG00000005802	P4_I9_M12	0.91
ENSMUSG00000005803	P2_I12_M19	0.8
ENSMUSG00000005804	P7_I7_M1	0.9
ENSMUSG00000005813	UNCLASSIFIED	NA
ENSMUSG00000005823	P5_I8_M6	0.91
ENSMUSG00000005824	UNCLASSIFIED	NA
ENSMUSG00000005836	P4_I9_M5	0.9
ENSMUSG00000005846	P1_I9_M1	0.83
ENSMUSG00000005864	UNCLASSIFIED	NA
ENSMUSG00000005871	P2_I12_M2	0.96
ENSMUSG00000005873	P3_I9_M2	0.94
ENSMUSG00000005881	P2_I12_M4	0.95
ENSMUSG00000005882	P2_I12_M13	0.89
ENSMUSG00000005883	UNCLASSIFIED	NA
ENSMUSG00000005886	P2_I12_M2	0.93
ENSMUSG00000005893	P2_I12_M2	0.95
ENSMUSG00000005897	P2_I12_M2	0.86
ENSMUSG00000005899	P2_I12_M5	0.92
ENSMUSG00000005907	UNCLASSIFIED	NA
ENSMUSG00000005936	P1_I9_M1	0.96
ENSMUSG00000005947	P6_I6_M4	0.88
ENSMUSG00000005949	P4_I9_M9	0.89
ENSMUSG00000005950	P1_I9_M7	0.8
ENSMUSG00000005951	P2_I12_M19	0.84
ENSMUSG00000005952	P4_I9_M7	0.87
ENSMUSG00000005958	P1_I9_M1	0.9
ENSMUSG00000005968	P3_I9_M5	0.83
ENSMUSG00000005973	P1_I9_M1	0.94
ENSMUSG00000005980	UNCLASSIFIED	NA
ENSMUSG00000005981	P3_I9_M8	0.89
ENSMUSG00000005982	UNCLASSIFIED	NA
ENSMUSG00000005983	UNCLASSIFIED	NA
ENSMUSG00000005986	P3_I9_M1	0.93
ENSMUSG00000006005	P2_I12_M2	0.95
ENSMUSG00000006010	P8_I5_M3	0.91
ENSMUSG00000006014	UNCLASSIFIED	NA
ENSMUSG00000006019	P9_I6_M5	0.86
ENSMUSG00000006021	UNCLASSIFIED	NA
ENSMUSG00000006024	P2_I12_M4	0.91
ENSMUSG00000006050	UNCLASSIFIED	NA
ENSMUSG00000006056	P5_I8_M7	0.91
ENSMUSG00000006057	UNCLASSIFIED	NA
ENSMUSG00000006058	P2_I12_M4	0.91
ENSMUSG00000006095	P3_I9_M7	0.85
ENSMUSG00000006127	P2_I12_M3	0.93
ENSMUSG00000006134	P3_I9_M17	0.9
ENSMUSG00000006154	P1_I9_M5	0.9
ENSMUSG00000006169	P3_I9_M6	0.93
ENSMUSG00000006191	P7_I7_M1	0.87
ENSMUSG00000006205	P5_I8_M2	0.92
ENSMUSG00000006215	P7_I7_M2	0.89
ENSMUSG00000006216	P4_I9_M20	0.93
ENSMUSG00000006218	P2_I12_M10	0.86
ENSMUSG00000006219	P3_I9_M12	0.89
ENSMUSG00000006221	UNCLASSIFIED	NA
ENSMUSG00000006235	P6_I6_M10	0.86
ENSMUSG00000006241	UNCLASSIFIED	NA
ENSMUSG00000006262	P4_I9_M14	0.82
ENSMUSG00000006273	P2_I12_M1	0.94
ENSMUSG00000006276	P1_I9_M1	0.92
ENSMUSG00000006281	P1_I9_M1	0.94
ENSMUSG00000006288	P1_I9_M1	0.95
ENSMUSG00000006289	P4_I9_M4	0.87
ENSMUSG00000006299	P5_I8_M2	0.93
ENSMUSG00000006301	P3_I9_M2	0.92
ENSMUSG00000006304	P2_I12_M1	0.92
ENSMUSG00000006307	P2_I12_M5	0.94
ENSMUSG00000006310	P2_I12_M7	0.85
ENSMUSG00000006313	UNCLASSIFIED	NA
ENSMUSG00000006315	UNCLASSIFIED	NA
ENSMUSG00000006333	P2_I12_M4	0.95
ENSMUSG00000006335	P4_I9_M4	0.85
ENSMUSG00000006342	P4_I9_M10	0.85
ENSMUSG00000006344	P4_I9_M22	0.88
ENSMUSG00000006345	P1_I9_M3	0.92
ENSMUSG00000006356	P2_I12_M1	0.9
ENSMUSG00000006360	P5_I8_M2	0.91
ENSMUSG00000006362	P8_I5_M1	0.91
ENSMUSG00000006369	P3_I9_M4	0.86
ENSMUSG00000006373	P1_I9_M2	0.96
ENSMUSG00000006378	P1_I9_M2	0.94
ENSMUSG00000006386	P3_I9_M3	0.93
ENSMUSG00000006389	UNCLASSIFIED	NA
ENSMUSG00000006390	P4_I9_M2	0.93
ENSMUSG00000006392	UNCLASSIFIED	NA
ENSMUSG00000006395	UNCLASSIFIED	NA
ENSMUSG00000006398	P5_I8_M10	0.92
ENSMUSG00000006403	P7_I7_M4	0.9
ENSMUSG00000006411	P3_I9_M1	0.9
ENSMUSG00000006412	UNCLASSIFIED	NA
ENSMUSG00000006418	UNCLASSIFIED	NA
ENSMUSG00000006423	P5_I8_M1	0.93
ENSMUSG00000006435	P1_I9_M4	0.98
ENSMUSG00000006442	UNCLASSIFIED	NA
ENSMUSG00000006445	UNCLASSIFIED	NA
ENSMUSG00000006456	P3_I9_M4	0.83
ENSMUSG00000006457	P1_I9_M4	0.93
ENSMUSG00000006462	P3_I9_M8	0.82
ENSMUSG00000006463	P1_I9_M1	0.93
ENSMUSG00000006464	P6_I6_M3	0.91
ENSMUSG00000006471	P2_I12_M5	0.93
ENSMUSG00000006476	P2_I12_M10	0.87
ENSMUSG00000006494	UNCLASSIFIED	NA
ENSMUSG00000006498	P3_I9_M1	0.92
ENSMUSG00000006517	UNCLASSIFIED	NA
ENSMUSG00000006519	P3_I9_M12	0.9
ENSMUSG00000006522	P1_I9_M2	0.93
ENSMUSG00000006526	P2_I12_M13	0.9
ENSMUSG00000006527	P5_I8_M5	0.86
ENSMUSG00000006529	P1_I9_M2	0.94
ENSMUSG00000006538	P1_I9_M3	0.9
ENSMUSG00000006542	P2_I12_M9	0.85
ENSMUSG00000006567	P1_I9_M2	0.97
ENSMUSG00000006574	UNCLASSIFIED	NA
ENSMUSG00000006575	UNCLASSIFIED	NA
ENSMUSG00000006576	P2_I12_M3	0.92
ENSMUSG00000006585	P2_I12_M1	0.93
ENSMUSG00000006586	P9_I6_M3	0.89
ENSMUSG00000006587	P1_I9_M4	0.87
ENSMUSG00000006589	P6_I6_M11	0.86
ENSMUSG00000006599	P1_I9_M1	0.89
ENSMUSG00000006611	P3_I9_M11	0.86
ENSMUSG00000006638	P2_I12_M20	0.9
ENSMUSG00000006641	P10_I3_M4	0.86
ENSMUSG00000006642	UNCLASSIFIED	NA
ENSMUSG00000006649	UNCLASSIFIED	NA
ENSMUSG00000006651	P6_I6_M10	0.86
ENSMUSG00000006673	P7_I7_M1	0.94
ENSMUSG00000006675	P1_I9_M1	0.87
ENSMUSG00000006676	P3_I9_M4	0.91
ENSMUSG00000006678	P7_I7_M1	0.88
ENSMUSG00000006699	P1_I9_M1	0.93
ENSMUSG00000006705	P6_I6_M8	0.82
ENSMUSG00000006711	P1_I9_M2	0.83
ENSMUSG00000006715	P3_I9_M21	0.87
ENSMUSG00000006717	P1_I9_M8	0.85
ENSMUSG00000006720	UNCLASSIFIED	NA
ENSMUSG00000006724	UNCLASSIFIED	NA
ENSMUSG00000006728	UNCLASSIFIED	NA
ENSMUSG00000006731	P2_I12_M17	0.88
ENSMUSG00000006732	P4_I9_M2	0.83
ENSMUSG00000006736	P1_I9_M2	0.91
ENSMUSG00000006740	P3_I9_M6	0.93
ENSMUSG00000006763	P6_I6_M3	0.89
ENSMUSG00000006764	P5_I8_M14	0.95
ENSMUSG00000006777	UNCLASSIFIED	NA
ENSMUSG00000006782	P4_I9_M7	0.87
ENSMUSG00000006784	P9_I6_M5	0.83
ENSMUSG00000006800	P3_I9_M2	0.95
ENSMUSG00000006818	P3_I9_M21	0.93
ENSMUSG00000006850	UNCLASSIFIED	NA
ENSMUSG00000006906	P1_I9_M1	0.91
ENSMUSG00000006920	P2_I12_M3	0.94
ENSMUSG00000006930	P1_I9_M3	0.9
ENSMUSG00000006931	P3_I9_M4	0.87
ENSMUSG00000006932	P1_I9_M1	0.96
ENSMUSG00000006941	P2_I12_M4	0.91
ENSMUSG00000006958	P4_I9_M7	0.88
ENSMUSG00000006998	P3_I9_M7	0.89
ENSMUSG00000007021	UNCLASSIFIED	NA
ENSMUSG00000007029	P3_I9_M1	0.86
ENSMUSG00000007030	P7_I7_M2	0.93
ENSMUSG00000007033	UNCLASSIFIED	NA
ENSMUSG00000007034	P1_I9_M3	0.93
ENSMUSG00000007035	P2_I12_M6	0.93
ENSMUSG00000007036	P3_I9_M2	0.93
ENSMUSG00000007038	UNCLASSIFIED	NA
ENSMUSG00000007039	P2_I12_M4	0.94
ENSMUSG00000007041	P3_I9_M12	0.94
ENSMUSG00000007050	UNCLASSIFIED	NA
ENSMUSG00000007080	P6_I6_M8	0.81
ENSMUSG00000007097	P2_I12_M13	0.86
ENSMUSG00000007107	P2_I12_M6	0.88
ENSMUSG00000007122	P1_I9_M4	0.95
ENSMUSG00000007207	P1_I9_M1	0.88
ENSMUSG00000007216	P3_I9_M3	0.82
ENSMUSG00000007279	UNCLASSIFIED	NA
ENSMUSG00000007338	P3_I9_M2	0.91
ENSMUSG00000007379	P3_I9_M14	0.82
ENSMUSG00000007411	P1_I9_M1	0.93
ENSMUSG00000007415	UNCLASSIFIED	NA
ENSMUSG00000007458	P1_I9_M1	0.9
ENSMUSG00000007476	P4_I9_M23	0.9
ENSMUSG00000007480	P4_I9_M23	0.8
ENSMUSG00000007564	P3_I9_M7	0.95
ENSMUSG00000007570	P4_I9_M6	0.89
ENSMUSG00000007589	P3_I9_M1	0.93
ENSMUSG00000007591	P3_I9_M1	0.82
ENSMUSG00000007594	P3_I9_M19	0.83
ENSMUSG00000007603	P4_I9_M8	0.9
ENSMUSG00000007610	P3_I9_M4	0.89
ENSMUSG00000007613	P3_I9_M6	0.91
ENSMUSG00000007617	UNCLASSIFIED	NA
ENSMUSG00000007646	UNCLASSIFIED	NA
ENSMUSG00000007655	P3_I9_M2	0.93
ENSMUSG00000007656	P2_I12_M4	0.86
ENSMUSG00000007659	UNCLASSIFIED	NA
ENSMUSG00000007670	P3_I9_M1	0.88
ENSMUSG00000007682	P3_I9_M21	0.82
ENSMUSG00000007721	UNCLASSIFIED	NA
ENSMUSG00000007739	P1_I9_M1	0.92
ENSMUSG00000007777	UNCLASSIFIED	NA
ENSMUSG00000007783	P3_I9_M4	0.92
ENSMUSG00000007805	P3_I9_M8	0.88
ENSMUSG00000007812	P2_I12_M3	0.9
ENSMUSG00000007815	P1_I9_M1	0.93
ENSMUSG00000007817	P3_I9_M6	0.92
ENSMUSG00000007827	P4_I9_M9	0.88
ENSMUSG00000007833	UNCLASSIFIED	NA
ENSMUSG00000007836	P9_I6_M2	0.91
ENSMUSG00000007837	UNCLASSIFIED	NA
ENSMUSG00000007850	P4_I9_M8	0.97
ENSMUSG00000007867	P2_I12_M3	0.91
ENSMUSG00000007872	P7_I7_M3	0.83
ENSMUSG00000007877	P1_I9_M4	0.91
ENSMUSG00000007880	P4_I9_M9	0.95
ENSMUSG00000007888	P2_I12_M1	0.91
ENSMUSG00000007891	P4_I9_M25	0.93
ENSMUSG00000007892	P10_I3_M2	0.9
ENSMUSG00000007944	P3_I9_M20	0.85
ENSMUSG00000007946	UNCLASSIFIED	NA
ENSMUSG00000007950	P7_I7_M7	0.81
ENSMUSG00000007987	P2_I12_M4	0.94
ENSMUSG00000007989	P1_I9_M1	0.93
ENSMUSG00000008028	P5_I8_M11	0.89
ENSMUSG00000008035	UNCLASSIFIED	NA
ENSMUSG00000008036	P4_I9_M2	0.92
ENSMUSG00000008090	P2_I12_M3	0.93
ENSMUSG00000008129	P4_I9_M18	0.84
ENSMUSG00000008136	P3_I9_M12	0.92
ENSMUSG00000008140	P3_I9_M3	0.83
ENSMUSG00000008153	UNCLASSIFIED	NA
ENSMUSG00000008167	UNCLASSIFIED	NA
ENSMUSG00000008193	P6_I6_M7	0.91
ENSMUSG00000008200	P2_I12_M5	0.91
ENSMUSG00000008206	P5_I8_M2	0.88
ENSMUSG00000008226	UNCLASSIFIED	NA
ENSMUSG00000008301	P1_I9_M1	0.91
ENSMUSG00000008305	UNCLASSIFIED	NA
ENSMUSG00000008307	P4_I9_M15	0.89
ENSMUSG00000008318	UNCLASSIFIED	NA
ENSMUSG00000008333	P3_I9_M2	0.9
ENSMUSG00000008348	P3_I9_M11	0.92
ENSMUSG00000008373	P1_I9_M1	0.91
ENSMUSG00000008384	P4_I9_M2	0.82
ENSMUSG00000008393	P1_I9_M1	0.9
ENSMUSG00000008398	P1_I9_M1	0.94
ENSMUSG00000008429	P1_I9_M1	0.9
ENSMUSG00000008435	P6_I6_M3	0.82
ENSMUSG00000008438	UNCLASSIFIED	NA
ENSMUSG00000008450	P3_I9_M7	0.9
ENSMUSG00000008461	UNCLASSIFIED	NA
ENSMUSG00000008475	P2_I12_M1	0.94
ENSMUSG00000008482	UNCLASSIFIED	NA
ENSMUSG00000008496	P5_I8_M9	0.89
ENSMUSG00000008540	P2_I12_M19	0.94
ENSMUSG00000008575	P1_I9_M1	0.93
ENSMUSG00000008601	P1_I9_M3	0.93
ENSMUSG00000008604	P4_I9_M22	0.86
ENSMUSG00000008658	P1_I9_M4	0.98
ENSMUSG00000008668	P1_I9_M5	0.92
ENSMUSG00000008682	P4_I9_M2	0.83
ENSMUSG00000008683	P2_I12_M4	0.91
ENSMUSG00000008690	P2_I12_M4	0.85
ENSMUSG00000008730	P2_I12_M2	0.92
ENSMUSG00000008734	P1_I9_M1	0.9
ENSMUSG00000008763	P6_I6_M8	0.95
